index,source,target,edge
141,month pedro pascal,key  role,cast in
142,filming  locations,warner bros,include
143,wonder woman,1984  june,scheduled
144,initial  script,berlanti,drafted by
145,dan mazeau,writer,brought
146,2018 john francis daley,march,hired
147,plot,speed force multiverse,revealed
148,production,january,scheduled
149,flash,sometime  2021,expected
150,emmerich peter who,emmerich peter safran,through
151,production,2020,expected
152,aquaman,2  december,scheduled
153,suicide squad,shortly batman v superman,occurred
154,2017  johns,january,reported
155,principal  photography,august,began on
156,david ayer,director,with
158,justice league,worldwide  november,released
159,aquaman,october,announced in
160,production,august,began in
161,villain mister mind,credits mid scene,introduced in
162,month  sequel,diego comic con,announced at
163,production,early  december,begun by early
164,month pedro pascal,key  role,cast in
165,filming  locations,warner bros,include
166,wonder woman,1984  june,scheduled
167,initial  script,berlanti,drafted by
168,dan mazeau,writer,brought
169,2018 john francis daley,march,hired
170,plot,speed force multiverse,revealed
171,production,january,scheduled
172,flash,sometime  2021,expected
173,emmerich peter who,emmerich peter safran,through
174,production,2020,expected
175,aquaman,2  december,scheduled
176,suicide squad,shortly batman v superman,occurred
177,jim,two freddie kiss,reacts
178,they,last minute slot,agree
179,2011  production,april,confirmed in
180,whishaw,project,left
181,i,man,ceased
182,discussions,him,began about
183,fletcher,executive producer credit,received
184,vinyl release,8  february,followed on
185,digital  version,22  january,released
186,instead  it,threatening  illness,referred to
187,it,outside north america,is
188,new  markets,france,included
189,it,ever south korea,is
190,they,conclusions,jumped to
191,horror,supernatural  fiction,overlap with
192,prevalent  elements,ghosts,include
193,it,third faust legend,is
194,this,trick films,was
195,trick films,special  effects,were silent
196,l'inferno,three  artists,directed by
197,series,close surrealist movement,is
198,film,five  stories,split into
199,it,german  expressionism,is
200,f. w. murnau,themed  movie,made
201,it,gothic horror novel dracula,was
202,this,expressionism filmmaking,popularized
203,they,german expressionist movement,become
204,exaggerated  smile,dc joker,was
205,film,poorly  audiences,received by
206,silent  classic,special morality effects,is
207,it,earlier  film,was
208,film,well  critics,received by
209,assistant,abnormal  brain,gives
210,first  one,rue morgue,is
211,it,boris karloff,'s
212,first  one,july,was in
213,it,blue murder mystery room,was
214,it,boris karloff,stars
215,it,six  movies,was
216,universal  pictures,iconic  actors,paired
217,peter ruric,screenplay,wrote
218,fiction horror film,hit  frankenstein,was
219,actress elsa lanchester,bride,portrayed
220,he,writing,continued by
221,radiation effects,slowly  him,begin
222,film,daughter title role,called
223,intervening criticism,intervening decades,divided
224,film,boris karloff,was
226,other  studios,lead,followed
227,fright  factor,way,enhanced
228,film director,film gimmick,considered
229,1950s,well creature feature,is
230,fly,vincent fiction horror price,is
231,film,popular cult culture,become
232,phrase twilight zone,surreal  experiences,used
233,1970s,american horror films,was
234,italian  film,nicolas roeg,was
235,murder,main horror films,were
236,poltergeist,ever film critics association,ranked
237,changeling,psychological peter medak,is
238,influence,still  films,seen in
239,bloody  valentine,day fiction,is
240,first  shake,philippines,released
241,several action horror movies,1980s,released in
242,dark fantasy horror which,special artist stan winston,is
243,event horizon,american fiction horror paul,is
244,monster horror,quite  1990s,was
245,tremors,first  franchise,is
246,valentine,contrast,was
247,others,many  awards,was
248,it,alejandro amenábar,written
249,comic book adaptations,blade series,became
250,pronounced  trends,horror films,marked
251,films,english language countries,become successful
252,notable  film,spanish debut filmmaker,is
253,cold  prey,norwegian roar uthaug,is
254,others,psychological horror film,proved
255,latter  film,sequel,spawned
257,verónica,real horror events,is
258,happy death day,february,released in
260,category,also fantasy genre,fuses
261,horror which,holiday  season,depicts
262,it,christmas,set during
263,examples,all r house,include
264,examples,frankenstein,include
265,common  themes,vengeful  ghosts,include vengeful
266,examples,ring,include
267,genre,sometimes science fiction,overlap with
269,it,most  1964,was
270,examples,unfriended friend request,include unfriended
271,one,noticeable side effects,is sleeplessness
272,early horror films,social  controversy,created great
273,however horror movies,positive  endings,present positive
274,satirical comedy drama,illicit love affair,concerned with
275,others,duck soup,include
276,sometimes  portmanteau,words,splatter
277,military  comedies,good  morning,include good
278,film,thin  coating,is
279,today  it,international film commerce,become
280,it,simple  friends,be
281,1968  festival,19  may,halted on
282,thierry frémaux,2007,became general
283,festival,european  films,become
284,jill forbes,european street cinema,argue in european
285,however  curse,black  pearl,became
286,second  film,generated disney pictures logo,was
287,village roadshow studios,filming port locations,confirmed as filming
288,suddenly  market,musicals,flooded with
289,many  comedies,musical  numbers,included
290,however sequel grease,2 box office,bombed at
291,chicago,first  oliver,was
293,musical  films,rio,include
295,however  colour,late  1950s,become
297,biggest bollywood movie stars,1990s,been
298,juvenile  stars,box office,appear
299,american  films,greatly  aleksandrov,impacted
300,successful  blend,social  message,was
301,another,popular  films,was
302,music,singing,limited to
303,here  work,spectacle,provided
304,other  director,musical  films,was
305,all,wife,starred
306,it,most  type,is
308,they,usually film grants,funded by
309,individual,viewing,made for individual
310,griffith,nation,'s
311,short  comedies,typically  serial,were
312,animated  cartoons,short  subjects,came
313,short  films,student  work,become
314,they,also  period,declined in
315,animated  shorts,commercial  distribution,continue within mainstream
316,shortstv,short television films,was
317,such  movies,also  internet,distributed via
318,it,second it film series,is
319,juno rinaldi,adult gretta,portrays
320,ideally  we,march,start
321,part,only  kids,is
322,sophia lillis,jessica chastain,chose
323,town hall exterior,derry library,used as
324,visual  effects,atomic  arts,provided by atomic
325,music,benjamin wallfisch,composed by
327,it,second it film series,is
328,juno rinaldi,adult gretta,portrays
329,ideally  we,march,start
330,part,only  kids,is
331,sophia lillis,jessica chastain,chose
332,town hall exterior,derry library,used as
333,visual  effects,atomic  arts,provided by atomic
334,music,benjamin wallfisch,composed by
336,long feature film,time,notion of
337,first narrative feature film,60 kelly gang,was
338,early  features,noteworthy style events,were
339,italian  features,last quo pompeii,days of
340,1913,first nan fu,saw
341,songs,edgar yip harburg,written by
342,musical  score,incidental  stothart,composed by
343,h. cannon,four page outline,submitted
344,part,initially betty jaynes,written for
345,instead contract player,frank september,cast on
346,gale sondergaard,wicked  witch,cast as
347,replacement,him,filming
348,oz sequences,three strip technicolor,filmed in
349,arnold gillespie,special effects film,was
350,develop,tornado scene,was
351,house,small  maquete,recreated by
352,cowardly  costume,real lion skin,made from real
353,film,musical  selections,noted for
354,haley,solo parts,rerecorded
355,musical  pieces,editing process,deleted in
356,this,ding dong,was
357,witch,smaller dialogue sequences,is dead
358,first sneak preview,san bernardino,held in
359,film,nationwide  august,opened
360,it,warner .,released by
361,restoration job,prime focus world,given
362,film,ultra  hd,scheduled
363,2d version,still g rating,retains
364,seven snow dwarfs,anything,has
365,film,.mw parser output,0;padding:0
366,major  differences,original  book,exist between
367,it,james franco,directed by
368,it,critical  reception,was
369,adrian,final costume design,was responsible
370,film version,1982,remade in
371,example,police story,include
372,genre,mehboob aurat,pioneered by
373,other  examples,gunga jumna,include
374,they,unprotected word lines,include
375,examples,angry  men,include
376,it,revalina sayuthi temat,stars
377,rika,muslim actor surya,is
378,meanwhile  surya,affections,competing for
379,individual  characters,people bramantyo,based on
380,film,reportedly 5 billion,cost
381,bramantyo,main cast members,contacted
382,made movie musicals,made  tv,become popular
383,it,movie,was
384,principal  photography,june,began on
385,first  trailer,day  november,released
386,final  trailer,march,released on
387,north maleficent,north america,is
388,largest opening weekends,china,were in
389,film,however  amount,ended
390,everyone,even  presence,fades in
391,it,agency,gives
392,it,power,gives
393,writer  that,rape,were
394,principal  photography,august,concluded on
395,director godfrey reggio,composer philip music,edited
396,artistic  merits,film music,debated
397,production music,convenient media producers,is
398,largest us library,"250,000  tracks",has
399,she,strength,have
400,it,where zellweger film,is hard
401,she,tear,deserves
402,examples,killers,include
403,this,war,smith
404,title,cynical  image,is
406,we,seriously  release,were
407,film,temporarily  brazil,banned for
408,2012  decision,5  july,overturned
409,dragan  bjelogrlić,film,criticized
410,that,something,'s
411,i,it,watch
412,you,serbian  film,want
413,i,conscience,want on
414,nota,political anand shankar,is
415,film,box office,was
416,varun subramanyam,video game uk,is
417,he,house arrest,remained as
418,varun,then  name,gains
419,day  she,23 sleeping pills,found dead
420,dam,many  lives,opens
421,vinothan,heated  argument,have
422,emotional  drama,characters,is
423,film,box office,was
424,i,indian s. shankar,is
425,soundtrack  score,a. r. rahman,composed by
426,production design,t. muthuraj,handled by
427,principal  photography,15  july,commenced on
428,main  ambition,chennai,is
429,he,diya,infatuated with
430,well  lingesan,diya,go
431,diya,soon  truth,proves successful
432,he,instead  her,focouses on
433,eventually body he,face,worsens
434,he,then  them,beaten
435,they,secluded  life,decide
436,additional stunt direction,anl arasu,done by
437,prosthetic  makeup,christien tinsley,done by
438,later  name,chopra,suggested along
439,film,14  january,scheduled
440,she,experience,saw
441,media rights,satellite rights,included
442,net  collections,crores,were
443,karma,2015 kanittha kwanyu,is
444,atlee kumar,tamil film industry,is
445,directorial  project,tamil  2016,became
446,atlee kumar,tamil film industry,is
447,directorial  project,tamil  2016,became
448,increasingly film festivals,films,show
449,festivals,specific film maker,focus on
450,prestigious film festivals,world,considered
451,venice film festival,oldest film world,is
452,longest film festival,international sydney film festival,is
453,short film festival,yorkton film 1947,is
454,south york film festival,south tribeca film southwest,are
455,arbor film festival,1963,started in
456,independent film festival,uk,is
457,few film festivals,issues/  subjects,focused on
458,festivals,mainstream  films,included
459,examples,related film festivals,include
461,hot  docs,filmmaker paul jay,is
462,whistler film festival,80  screenings,has more
463,international film festival,competitive film mexico,is
464,it,important film chile,is arguable
465,focus,latin american latin cinema,is on
466,many film festivals,exclusively  animation,dedicated
467,notable  festivals,international film festival,include
468,they,prestigious film world,considered
469,franchise,short  films,includes short
470,it,universal  pictures,distributed by universal
471,final  films,2020,planned
472,soft  emphasis,car culture,was
473,visual company weta digital,likeness,hired
474,ultimately  film,april,delayed
475,cast,ghost hologram,appear via
476,parkour  athletes,drivers,featured
477,following  list,website,sourced from
478,game,mixed  reviews,sold
479,models,diecast designer eric tscherne,designed by renowned
480,franchise,short  films,includes short
481,it,universal  pictures,distributed by universal
482,final  films,2020,planned
483,soft  emphasis,car culture,was
484,visual company weta digital,likeness,hired
485,ultimately  film,april,delayed
486,cast,ghost hologram,appear via
487,parkour  athletes,drivers,featured
488,following  list,website,sourced from
489,game,mixed  reviews,sold
490,models,diecast designer eric tscherne,designed by renowned
491,dual voting system,1956,developed in
492,filmfare awards,first  1954,introduced in
493,choice award,short  film,presented
494,so  ceremony,next  year,pushed to
496,theme,hundred  future,was
497,meena,rafiasha bhoslekishore,kumarimohammed
498,dual voting system,1956,developed in
499,filmfare awards,first  1954,introduced in
500,choice award,short  film,presented
501,so  ceremony,next  year,pushed to
503,theme,hundred  future,was
504,meena,rafiasha bhoslekishore,kumarimohammed
505,batman series,grossing north america,is
506,film,cave,introduced
507,johnny duncan,robin,played
508,film,leslie,directed by
509,late  popularity,late  1970s,waning
510,holden,1981,died in
511,nine  rewrites,separate  writers,performed by
512,final  salary,$ 50 million,reported
513,rewrites,warren skaaren,performed by
514,filming,warner bros,started at
515,film,more  money,felt
516,arnold schwarzenegger,.,starred as
517,then  idea,most,greenlight
518,he,warner bros,approached
519,aronofsky,franchise,intended
520,joss whedon,december,pitched in
521,it,also  no,listed at
522,dark knight rises,batman trilogy,intended
523,tom hardy,selina kyle,cast as
524,charles roven,also  film,set
525,history,killer croc,referenced
526,film,early  2019,scheduled
527,calotype process,paper negatives,produced
528,transparent plastic roll film,1889,followed in
529,it,flammable  nitrocellulose,called nitrate
530,photographic  plates,only  blue,were
531,however  all,these,were
532,commercially color film,glass plate 1907,was
533,it,held snapshot use,was expensive
534,film,278  patents,had
535,photographic  lenses,film,designed around
536,this,when color film,was
537,filters,different film types,were different
538,subject  matter,heavy  exposure,is tolerant
539,automatic  cameras,average  density,try
540,fourth naming standard,russian standards authority,is gost
541,common film speeds,iso,include
542,expensive  lenses,quartz,used
543,apochromatic  lenses,sometimes  spectrum,recommended due
545,first alfred thriller,silent london fog,was
546,film,future james bond films,be
547,action scenes,more thriller genre,gotten
548,such  films,silver streak,include
549,such  films,rather  policeman,focus on
550,central  topics,killers  murders,include serial
551,genre,late  1960s,was popular
552,examples,pelican brief,include
553,other  examples,tall  man,include
554,sometimes  protagonist,psychic  ability,has
555,examples,thirteenth  floor,include
556,loft,erotic erik van looy,is
559,production,july,wrapped
560,loft,negative  reviews,received
561,brief saruman imprisons,brief  battle,gandalf
562,bilbo,sword,gives
563,fellowship,then uruk hai,ambushed by
564,aragorn,boromir die,arrives
565,gandalf,defeated  palantír,retrieves
566,gandalf  sauron,capital minas tirith,deduces
567,gollum,chasm,attacks
568,fellowship,ring,released
569,peter we,it,like
570,jackson,own film production company,founded
571,jackson,favourite new zealand,called
572,2009  dispute,8  september,settled
573,numerous video games,film series,released
574,aladdin,musical walt disney pictures,is
575,aladdin,new  life,married
576,numan acar,hakim,set
577,ali musical ali sequence,1000  dancers,features
578,cgi scenes,better  notices,received better
579,international  openings,china,were in
580,you,original  film,be
581,film,july,released on
582,film,may,released on
583,film,may,released on
584,film,may,released on
585,film,june,released on
586,james mangold,later  film,hired
587,mark bomback,then  script,hired
588,film,july,released on
589,screenplay,kinberg,written by
590,visual specialist tim miller,april,hired
591,film,february,released on
592,film,may,released on
593,superheroes,risky  missions,going
594,additional  filming,august,occurred in
595,film,june,released on
596,records,three  films,surpassed
597,morris,men,praised
598,two  films,cerebral  tone,praised due
599,later  zombie,white  zombie,disbanded white
600,second studio album,second united states,became
601,third studio album,earlier  recordings,was
602,he,fifth studio album,released
603,live  shows,elaborate shock rock theatricality,praised for
604,he,robert  cummings,is
605,younger  brother,lead band powerman,is
606,zombie,album rob,released
607,second studio album,sinister  november,released on
608,second  single,single  feel,preceded by
609,film,theatrically  april,released
610,album,educated  march,released on
611,film,grossing  date,went
612,ii,august,released on
613,series,comic  book,appeared in
614,hellbilly  deluxe,2  february,released on
615,tour,officially  december,concluded on
616,we,plan,stick to
617,album,april,released on
618,album,selling  date,become
619,album,april,released on
620,zombie,it,described
621,film,yet release date,has
622,he,white  zombie,style
623,later  zombie,white  zombie,disbanded white
624,second studio album,second united states,became
625,third studio album,earlier  recordings,was
626,he,fifth studio album,released
627,live  shows,elaborate shock rock theatricality,praised for
628,he,robert  cummings,is
629,younger  brother,lead band powerman,is
630,zombie,album rob,released
631,second studio album,sinister  november,released on
632,second  single,single  feel,preceded by
633,film,theatrically  april,released
634,album,educated  march,released on
635,film,grossing  date,went
636,ii,august,released on
637,series,comic  book,appeared in
638,hellbilly  deluxe,2  february,released on
639,tour,officially  december,concluded on
640,we,plan,stick to
641,album,april,released on
642,album,selling  date,become
643,album,april,released on
644,zombie,it,described
645,film,yet release date,has
646,he,white  zombie,style
647,parties,deal  contracts,negotiate
648,step,actually  film,designed
649,actors,separate call times,have
650,take,everyone,inform
651,camera camera,camera operator,recording
652,video  film,film editor,assembled by
653,visual  effects,digitally  artist,added by
654,film,exhibition,duplicated as
655,parties,deal  contracts,negotiate
656,step,actually  film,designed
657,actors,separate call times,have
658,take,everyone,inform
659,camera camera,camera operator,recording
660,video  film,film editor,assembled by
661,visual  effects,digitally  artist,added by
662,film,exhibition,duplicated as
663,bbfc,uk age verification scheme,is
664,local  authorities,films,chose
665,first 12a certificate,bourne identity,was for
666,turnover,available job vacancies website,is low
667,bbfc,also video games,rated
668,bbfc guidelines,public  consultations,based on public
669,consultation,march,began in
670,bbfc,following  certificates,issues
671,they,licensed  cinemas,seen in
672,foreign language film,award,was
673,foreign language film it,foreign language film award,awarded
674,animated  films,also  category,permitted in
675,film,nomination,earned
676,one  film,country,accepted from
677,arab  film,foreign language film award,succeeded in
678,such  films,underground  channels,continued
679,pornographic  films,softcore  pornography,categorized as
680,it,sexual  activity,contains graphic
681,two,earliest  pioneers,were
682,gyrating,earliest  films,censored
683,however  none,pornographic  films,known
684,entrepreneurs,demand,emerged
685,term glamour,nude  modeling,was
686,sex films,european continent,were
687,debbie,dallas,does
688,nothing,this,stop
689,it,dedicated industry publications,followed by dedicated
690,pornographic film studios,also  houston,centered in
691,traditionally  audience,pornographic  films,been
692,most  actors,certain  genres,specialize in certain
693,they,normally  jewellery,wear
694,annie,support group member,befriended by
695,first  you,bloody  head,scream
696,sundance film festival,annual sundance institute,is
697,2019 sundance film festival,24  february,began
698,it,sterling van wagenen,founded by
699,capra  award,jimmy stewart,went to
700,actor robert who,actor robert redford,was
701,2013 sundance london festival,2013 car maker jaguar,held
702,2018  events,same  venue,continued at
703,war,indian siddharth anand,is
704,vaani  kapoor,lead  role,finalised
705,who,martial south korea,is
706,themes,sanchit balhara,composed by
707,india,today  it,rated
708,it,highest bollywood films,is
709,soon  film,all production world,established
710,technical  improvements,sound  recording,added
711,movies,victorian art age,become
712,technical  problems,1923,resolved by
713,film,painted  slides,included
714,first  films,device,were tipsy
715,technique,1901 film scrooge,used in
716,more james attack,china mission station,is
717,films,1900,were
718,films,proper  plots,were
719,first  year,silent  films,starred in
720,jacksonville,american film industry,was
721,film company,different  approach,was
722,trend,italy,followed in
723,f. percy smith,early nature documentary charles,was
724,danish film companies,1912,multiplying
725,swedish film industry,danish  industry,was smaller
726,important  man,newsreel svenskabiografteatern cinema chain,was
727,khanzhonkov company,so film 1918,became
728,i,french éclair company,was
729,exhibition venues,higher  prices,became larger
730,biggest  success,years,was
731,griffith,nation,'s
732,german film industry,seriously  war,weakened by
733,this,floodlights,replaced with
734,shaped  slits,vertical  apertures,used
735,new  idea,photography,was soft
736,untitled  film,edward raymond turner,directed by
737,subsequently technicolor technique,subsequently  1916,arrived
738,american propaganda films,desperate  journey,included desperate
739,it,greatest  time,considered
740,gimmicks,also  audiences,proliferated
741,disney,notably peter beauty,continued
742,limelight,interesting  respect,is
744,hidden  fortress,also star wars,was
745,series,1962,render
746,bonnie,new  hollywood,considered
747,classical  cinema,new hollywood producers,is
748,jeet kune,style,do
749,indian  film,time,was
750,same camera system,spy kids,used
751,silent  film,recorded  sound,is
752,pianists,sheet music,play
753,silent  film,retroactively  something,is
754,town movie theatres,usually  pianist,had
755,w. groundbreaking,nation,epic
756,silent film acting,modern day audiences,is apt
757,vaudeville,silent film actors,was
758,silent  films,intended  speeds,appear
759,frame,times  screen,flashed
760,silent era projectors,bladed  shutters,fitted with
761,represented  fire,mysterious  atmosphere,represented
762,early  studios,york city area,located in
763,others films,fort lee,shot in
764,amounts,gross exhibition gross,are gross
765,australian film doctor,silent rolf de heer,was
766,stage plays,silent film styles,drawn upon silent
767,blancanieves,silent pablo berger,is
768,short  that,silent film comedies,is
769,sheep,positive  reviews,released to positive
770,aardman animations,also  morph,produced
771,film,year,made in
772,early  forms,motion pictures,were black
773,color television,more  .,became
774,colour photography,inaccurate  hues,was
775,color photography,mid-20th  century,became
776,sometimes  color,cover,reserved for
777,many school yearbooks,mostly  black,are
778,early  forms,motion pictures,were black
779,color television,more  .,became
780,colour photography,inaccurate  hues,was
781,color photography,mid-20th  century,became
782,sometimes  color,cover,reserved for
783,many school yearbooks,mostly  black,are
784,it,first it film series,is
785,chosen stephen bogaert,roles,featured in
786,it,grossing horror time,is
788,now  they,scary  clown,going
789,it,all  core,'s
790,i,different  approach,had
791,kids,really  bill,creeped
792,it,arri alexa,photographed with
793,look,lenses,is
794,he,natural  look,trying
795,it,like  quality,gives
796,so  i,away  it,wanted
797,it,just  sync,was
798,overall  response,face,seemed
799,internationally  film,"10,560  screens",released on
801,brennan feeling performance,career awards season,was
802,evil clown pennywise,scary bill nightmares,wrote
803,ideally  we,march,start
804,part,only  kids,is
805,cinema historians,category,defined
806,sensibility,warner bros,mirrored in
807,classic  film,maltese  falcon,noirs
808,one,others,was
809,it,british century subsidiary,is
810,noir film genre,cold war,developed
811,black christopher debut,classic  noir,was
814,film noir,many  manners,parodied many
815,dead carl men,plaid,wear
816,noir parodies,darker  tones,come in darker
817,final  act,parodic  strain,is
818,still  others,mood,focus on
819,survey,identifying  characteristics,considered definitive
820,faces,partially  darkness,obscured by
821,relative  rarity,conventional  hollywood,filmmaking
822,robert montgomery,only  mirrors,seen
824,jealous femme intrepid,many film noirs,appear in many
825,bars,frequently gambling action,are
826,soundtrack,vidyasagar,composed by
827,film,moderate box office,was
828,135 camera film,kodak standard kodak perforations,comes
829,135  film,several emulsion types,made in several
830,perforation size,standard specification ks-1870,are according
831,this,38.00  mm,specified as
832,12 exposure rolls,daily  press,used
833,24×36 mm exposures,1914,seems
834,335,23 stereo format,was
835,single lens reflex,kine 1936,was
836,gods,dramatic łukasz palkowski,is
837,afi,private  funding,supported by private
838,prior  leaders,director george stevens,founding
839,film training program,afi conservatory,grew into
840,first  class,filmmakers terrence malick,included
841,producer richard gladstein,july,became dean
842,afi catalog,1968,started in
843,year afi awards,outstanding  films,honor
844,awards,competitive  excellence,are
845,american film market,market afi,is
846,additional  sponsors,american airlines,include
847,afi docs,documentary washington,is
848,festival,"27,000 documentary enthusiasts",attracts
849,silver theatre silver center,cultural silver spring,is
850,together defeat who,afterwards  director,working
851,group,victory,celebrates
853,westley pingi moli,cousins,leclay
854,character,future  film,cast in
855,most  filming,shepperton studios,done at
857,same  method,mclaren,applied for
858,idris elba,human  abilities,enhanced
859,finally  they,chopper destruction,handled
860,latter,clearangle,was
861,second  trailer,april,released on
862,final  trailer,june,released on
863,reald 3d conversion,film,planned
864,together defeat who,afterwards  director,working
865,group,victory,celebrates
867,westley pingi moli,cousins,leclay
868,character,future  film,cast in
869,most  filming,shepperton studios,done at
871,same  method,mclaren,applied for
872,idris elba,human  abilities,enhanced
873,finally  they,chopper destruction,handled
874,latter,clearangle,was
875,second  trailer,april,released on
876,final  trailer,june,released on
877,reald 3d conversion,film,planned
878,film,long  camera,ran
879,films,1900,were
880,many  directors,artistic  bond,form
881,motion picture montage,motion picture terminology,is
883,two  shots,same tone value,be approximate
884,visual  effects,temporary  sound,perform temporary
885,lower budget features,one  assistant,have
886,organizational aspects job,best database management,compared to
887,assistant  editing,career path,seen as
888,avn awards,american trade magazine avn,are
889,they,porn,called
890,xrco awards,rated critics organization,given by
891,penny arcade attractions,topless  women,featured topless
892,casey donovan,pornographic  hit,starred in
893,they,commonly  20s,are
894,a,boxcover,is
895,she,power,has
896,five  she,phone calls,gets
897,she,phone calls,stops
898,you,gangbangs,do
899,they,even phone call,get
900,so  it,anal girl toy,'s
901,most  actresses,adult industry,are free
902,they,anyone,shoot for
903,most contract girls,"$  60,000",make
904,average  male,"$  40,000",makes
905,claims,public health authorities,criticized by various
906,breakdown voltage,dielectric  films,is
907,this,current  rating,double
908,film,less  material,made of
909,rated film capacitors,film metal foil construction,are
910,however metal foil capacitors,healing  properties,have
911,special  type,also mku capacitors,were
912,characteristics,mixed film materials,listed
913,they,metallized  wound,manufactured
914,table,50 capacitance pf,is
915,they,metallized  wound,manufactured
916,they,metallized  types,produced
917,they,metallized  types,produced as metallized
918,dielectric absorption performance,dielectric  capacitors,is excellent
919,ptfe,often dupont trademark teflon,known by
921,specific series film capacitors,2012,announced
922,offered film capacitor,kapton dhgate,is
923,iec standards,european  standards,harmonized with european
924,many  manufacturers,standard  abbreviations,continue
925,required capacitance tolerance,particular  application,determined by
926,derating  factors,dc  voltages,apply to
927,allowable peak value,superimposed alternating voltage,is
928,film capacitors,alternating  voltage,polarized
929,capacitors,effect,designed
930,equivalent  values,capacitor,s
931,dissipation factor,film capacitors,is frequency-
932,film capacitors,aging  processes,are subject
933,main  advantages,film capacitors,are
934,snubber capacitors,very esr capacitor construction,require
935,important  criteria,application,are
936,called snubber capacitors,special construction features,have
938,discharge capacitors,current  surges,are
939,power capacitors,physical  dimensions,reach
940,most  animations,generated  imagery,made with
941,animation,also information technology interfaces,is
942,little winsor nemo,detailed  drawings,showcased
943,el apóstol,cutout  animation,was
944,terrytoons,tom terrific,released
945,animation market,2008,was worth
946,today  drawings,directly computer system,scanned into
947,3d animation,digitally  animator,modeled
949,traits,live  action,are
950,list,awardees,is
951,most  animations,generated  imagery,made with
952,animation,also information technology interfaces,is
